pays,code_pays,produit,code_produit,année,alim_ani,autres_utilisations,dispo_int,nourriture,pertes,semences,transfo
Afghanistan,2,Abats Comestible,2736,2012,0,0,54000,54000,0,0,0
Afghanistan,2,Abats Comestible,2736,2013,0,0,53000,53000,0,0,0
Afghanistan,2,"Agrumes, Autres",2614,2012,0,0,19000,18000,1000,0,0
Afghanistan,2,"Agrumes, Autres",2614,2013,0,0,41000,39000,2000,0,0
Afghanistan,2,Aliments pour enfants,2680,2012,0,0,2000,2000,0,0,0
Afghanistan,2,Aliments pour enfants,2680,2013,0,0,2000,2000,0,0,0
Afghanistan,2,Ananas,2618,2012,0,0,0,0,0,0,0
Afghanistan,2,Ananas,2618,2013,0,0,0,0,0,0,0
Afghanistan,2,Bananes,2615,2012,0,0,48000,48000,0,0,0
Afghanistan,2,Bananes,2615,2013,0,0,82000,82000,0,0,0
Afghanistan,2,"Beurre, Ghee",2740,2012,0,0,35000,35000,0,0,0
Afghanistan,2,"Beurre, Ghee",2740,2013,0,0,36000,36000,0,0,0
Afghanistan,2,Bière,2656,2012,0,0,3000,3000,0,0,0
Afghanistan,2,Bière,2656,2013,0,0,3000,3000,0,0,0
Afghanistan,2,Blé,2511,2012,0,0,5884000,4810000,758000,316000,0
Afghanistan,2,Blé,2511,2013,0,0,5992000,4895000,775000,322000,0
Afghanistan,2,Boissons Alcooliques,2658,2012,0,0,0,0,0,0,0
Afghanistan,2,Boissons Alcooliques,2658,2013,0,0,0,0,0,0,0
Afghanistan,2,Café,2630,2012,0,0,0,0,0,0,0
Afghanistan,2,Café,2630,2013,0,0,0,0,0,0,0
Afghanistan,2,Coco (Incl Coprah),2560,2012,0,0,0,0,0,0,0
Afghanistan,2,Coco (Incl Coprah),2560,2013,0,0,0,0,0,0,0
Afghanistan,2,Crème,2743,2012,0,0,4000,4000,0,0,0
Afghanistan,2,Crème,2743,2013,0,0,18000,18000,0,0,0
Afghanistan,2,"Céréales, Autres",2520,2012,0,0,0,0,0,0,0
Afghanistan,2,"Céréales, Autres",2520,2013,0,0,0,0,0,0,0
Afghanistan,2,Dattes,2619,2012,0,0,9000,9000,0,0,0
Afghanistan,2,Dattes,2619,2013,0,0,1000,1000,0,0,0
Afghanistan,2,Edulcorants Autres,2543,2012,0,0,24000,24000,0,0,0
Afghanistan,2,Edulcorants Autres,2543,2013,0,0,16000,16000,0,0,0
Afghanistan,2,Feve de Cacao,2633,2012,0,0,1000,1000,0,0,0
Afghanistan,2,Feve de Cacao,2633,2013,0,0,1000,1000,0,0,0
Afghanistan,2,"Fruits, Autres",2625,2012,0,0,252000,236000,16000,0,0
Afghanistan,2,"Fruits, Autres",2625,2013,0,0,240000,223000,17000,0,0
Afghanistan,2,Graines de coton,2559,2012,0,0,24000,0,0,1000,22000
Afghanistan,2,Graines de coton,2559,2013,0,0,27000,0,0,1000,26000
Afghanistan,2,Graines de tournesol,2557,2012,0,0,2000,0,0,0,2000
Afghanistan,2,Graines de tournesol,2557,2013,0,0,3000,0,0,0,3000
Afghanistan,2,Graisses Animales Crue,2737,2012,0,0,16000,16000,0,0,0
Afghanistan,2,Graisses Animales Crue,2737,2013,0,0,15000,15000,0,0,0
Afghanistan,2,Huil Plantes Oleif Autr,2586,2012,0,371000,373000,2000,0,0,0
Afghanistan,2,Huil Plantes Oleif Autr,2586,2013,0,359000,361000,2000,0,0,0
Afghanistan,2,Huile Graines de Coton,2575,2012,0,1000,4000,3000,0,0,0
Afghanistan,2,Huile Graines de Coton,2575,2013,0,1000,5000,4000,0,0,0
Afghanistan,2,Huile d'Arachide,2572,2012,0,0,0,0,0,0,0
Afghanistan,2,Huile d'Arachide,2572,2013,0,0,0,0,0,0,0
Afghanistan,2,Huile d'Olive,2580,2012,0,0,1000,1000,0,0,0
Afghanistan,2,Huile d'Olive,2580,2013,0,0,1000,1000,0,0,0
Afghanistan,2,Huile de Colza&Moutarde,2574,2012,0,0,2000,2000,0,0,0
Afghanistan,2,Huile de Colza&Moutarde,2574,2013,0,0,2000,2000,0,0,0
Afghanistan,2,Huile de Palme,2577,2012,0,50000,111000,61000,0,0,0
Afghanistan,2,Huile de Palme,2577,2013,0,55000,119000,64000,0,0,0
Afghanistan,2,Huile de Soja,2571,2012,0,0,16000,16000,0,0,0
Afghanistan,2,Huile de Soja,2571,2013,0,0,16000,16000,0,0,0
Afghanistan,2,Huile de Sésame,2579,2012,0,0,1000,1000,0,0,0
Afghanistan,2,Huile de Sésame,2579,2013,0,0,1000,1000,0,0,0
Afghanistan,2,Huile de Tournesol,2573,2012,0,0,17000,17000,0,0,0
Afghanistan,2,Huile de Tournesol,2573,2013,0,0,23000,23000,0,0,0
Afghanistan,2,Lait - Excl Beurre,2848,2012,121000,0,2074000,1895000,58000,0,0
Afghanistan,2,Lait - Excl Beurre,2848,2013,123000,0,2083000,1901000,58000,0,0
Afghanistan,2,"Légumes, Autres",2605,2012,0,0,1036000,910000,126000,0,0
Afghanistan,2,"Légumes, Autres",2605,2013,0,0,1007000,885000,122000,0,0
Afghanistan,2,Légumineuses Autres,2549,2012,4000,0,73000,63000,2000,4000,0
Afghanistan,2,Légumineuses Autres,2549,2013,4000,0,86000,74000,3000,5000,0
Afghanistan,2,Maïs,2514,2012,200000,0,314000,77000,31000,5000,0
Afghanistan,2,Maïs,2514,2013,200000,0,313000,76000,31000,5000,0
Afghanistan,2,Miel,2745,2012,0,0,2000,2000,0,0,0
Afghanistan,2,Miel,2745,2013,0,0,2000,2000,0,0,0
Afghanistan,2,Millet,2517,2012,0,0,15000,14000,1000,0,0
Afghanistan,2,Millet,2517,2013,0,0,13000,12000,1000,0,0
Afghanistan,2,Noix,2551,2012,0,0,70000,70000,0,0,0
Afghanistan,2,Noix,2551,2013,0,0,44000,44000,0,0,0
Afghanistan,2,Oeufs,2744,2012,0,0,31000,26000,3000,2000,0
Afghanistan,2,Oeufs,2744,2013,0,0,47000,40000,5000,2000,0
Afghanistan,2,Olives,2563,2012,0,0,7000,2000,0,0,4000
Afghanistan,2,Olives,2563,2013,0,0,7000,2000,0,0,4000
Afghanistan,2,"Oranges, Mandarines",2611,2012,0,0,176000,176000,0,0,0
Afghanistan,2,"Oranges, Mandarines",2611,2013,0,0,145000,145000,0,0,0
Afghanistan,2,Orge,2513,2012,367000,0,519000,78000,52000,22000,0
Afghanistan,2,Orge,2513,2013,360000,0,524000,89000,52000,22000,0
Afghanistan,2,"Plantes Oleiferes, Autre",2570,2012,0,0,3000,0,0,0,2000
Afghanistan,2,"Plantes Oleiferes, Autre",2570,2013,0,0,3000,0,0,0,2000
Afghanistan,2,Poissons Eau Douce,2761,2012,0,0,2000,2000,0,0,0
Afghanistan,2,Poissons Eau Douce,2761,2013,0,0,2000,2000,0,0,0
Afghanistan,2,Poivre,2640,2012,0,0,0,0,0,0,0
Afghanistan,2,Poivre,2640,2013,0,0,0,0,0,0,0
Afghanistan,2,Pommes,2617,2012,0,0,47000,43000,4000,0,0
Afghanistan,2,Pommes,2617,2013,0,0,72000,68000,4000,0,0
Afghanistan,2,Pommes de Terre,2531,2012,0,0,226000,196000,7000,23000,0
Afghanistan,2,Pommes de Terre,2531,2013,0,0,262000,230000,9000,23000,0
Afghanistan,2,Raisin,2620,2012,0,0,502000,472000,30000,0,0
Afghanistan,2,Raisin,2620,2013,0,0,513000,483000,31000,0,0
Afghanistan,2,Riz (Eq Blanchi),2805,2012,0,0,463000,425000,23000,14000,0
Afghanistan,2,Riz (Eq Blanchi),2805,2013,0,0,461000,422000,24000,14000,0
Afghanistan,2,Sucre Eq Brut,2542,2012,0,0,250000,250000,0,0,0
Afghanistan,2,Sucre Eq Brut,2542,2013,0,0,255000,255000,0,0,0
Afghanistan,2,"Sucre, betterave",2537,2012,0,0,14000,0,0,0,14000
Afghanistan,2,"Sucre, betterave",2537,2013,0,0,15000,0,0,0,15000
Afghanistan,2,"Sucre, canne",2536,2012,69000,0,78000,0,0,0,9000
Afghanistan,2,"Sucre, canne",2536,2013,81000,0,90000,0,0,0,9000
